Date,Label,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25
2000-02-29,1,Fulham draw little comfort,Marseille 1 - 0 Chelsea,Clubs could be compensated for international call-ups,Trio home to domestic strife,"Fewer Balls and more *!!**!, please",Shearer keeps one strike ahead of the pack,Reading winger tests positive for cocaine,Rae faces misconduct charge for elbow on Powell,Owen and Yorke ready to rumble,Caymans launch World Cup trawl,Vaas pressures Pakistan,Nowhere to go after classroom years end,Why does Shalina wish she was a boy?,Providing a chance to make up for lost learning,Read the world,An island where girls now fly high,ITN denies Bosnia report 'fabrication',Opportunity costs,Artworks worth millions may be Nazi loot,Old Bailey judge accused of racist remarks at trial,Swim for your life,A very modern practice,Should all women have this test?,Waters carry all before,Britain steps up storm aid and cuts debt
2000-03-01,1,The clockwatcher,Chelsea fall to French resistance,Many are called but few are chosen for Cayman's World Cup campaign,Stavrum ends Caley's great adventure,Manchester United 2 - 0 Bordeaux,Frandsen leaves it late for Rovers,Wiltord willing and more than able,United drilled to withstand the long March,Celtic push for Atlantic league,Aldridge charged for 'clip around the ear',Debutant Younis defies Sri Lanka,England come calling for players,A cautious thumbs-up,No hiding place,A question of trust,Straw makes decision on Afghan hostages,American Beauty dominates Bafta nominations,ITN reporter 'bent over backwards for accuracy',A royal family matter,Oxfam's protest wins backers for action plan,Schools told to improve or close,Whitehall argues over helicopters as waters rise,Horror mounts for Maputo,Fate of flood victims hangs on meagre aid,Britain announces more aid for Mozambique
2000-03-02,1,Beckham delivers a sharp reminder of his dedication to the cause,Johnson piles on misery for Dundee,"So, was this a riot in the stand or not?",The rest of the world wakes up to Roma's rising sun,Italian return a rite of passage for O'Leary,Arsenal on guard for Spanish test,Arsenal v Deportivo La Coruna,Offside errors 'only human',Managers and players to get voice on video disciplinary panel,Hasselbaink blunts Spurs' ambitions,England reveal hand for first Test,Fifa size up Platini plan for standard calender,Wenger intervenes to revive Hughes move,Emergency aid: what the world is giving,Dances with wolves,The Tallulah file,"New Labour, New Language?",Met 'should look at racist killings',Oil prices,"PR, EU and FA",Who said what: British and international reaction to Pinochet's release,Pinochet case sets international precedent,"Language, politics, and government",Pinochet flies free,LA's deportees send crime rate soaring in El Salvador
2000-03-03,1,Spurs woo fans with freeze on ticket prices,Reading lead drive against agents,Gascoigne recovery hit by ban for three games,Football fans lose fight for seats,Henry's double triggers Gunners,What the world press says,"U-turn on water and telecoms ""sickens"" top Tory",Pinochet flies home a free man,Farmers say right-to-roam legislation will bring chaos,Yard's race squad may take over Telford inquiry,The price of life,"Upping sticks, Upping your profile and Upcoming",Pretty in punk,Most wanted:  Yves Saint Laurent stamps,The Insider,Coming up Rosier,Most everywhere:  not putting your coat on properly,Most popular: plays,"New Labour keywords: Renewal, modernisation, and reform",Blair's rhetorical style,Final farewell to the wizard of dribble,The old ultra-violence,Hamilton payment postponed,Torture for Straw as dictator's Tory friends exult,Pinochet arrives in Chile to mixed welcome
2000-03-06,1,Javed Miandad confirmed as coach,Boje spins India towards the brink,Kewell fuels Leeds title charge,Warnock blast awakens United,Viduka's feat all in vain in Celtic flop,The ungilded Palace of Lim,The Duke is hitting the high notes,Preston have Wright answers,"Little success, much intrigue",Charlton ready for better than first in the First,Taylor looks to the cut that lies beyond the miracle or not,Gunners leave chase to the last,Collymore homes in with hat-trick,Things look up for Collymore,Everton's salvation is a mixed blessing,Chelsea heed the call against all doubt,Nationwide round-up,Scottish round-up,The greatest hyperbole ever,Liverpool lay down marker for future,Pahars illuminates Hoddle's faith,Spurs see the need for Hartson,Wimbledon left in disarray as Kinkladze restores home pride,Labour on Livingstone: 'The people who know him best do not trust him',The murderer returns to the scene of the crime
2000-03-07,0,"Chris Balderstone, all-round sportsman, dies at 59",Azharuddin lightens India's gloom,Shoaib is back with a five-wicket bang,Scoreboard,Scoreboard,England expects and the pressure crushes,Bordeaux 1 - 2 Man Utd,Lewis top of British rich list,Petit fingered for Villa Park gesture,Little is sacked by West Brom,Hartson move collapses,Goater's World Cup hat-trick,NTL ups the ante on internet access,Blair wants internet access for all,AltaVista 'free calls' start online war,Women's unpaid work: some statistics,Stop the world and change it: the global women's strike,Former Welsh Labour leader to quit assembly,Banderas in front row for Phantom role,Tearing up the rulebook,Why he decided to go it alone,Poll exclusive: Livingstone surges into huge lead,When secrecy becomes tyranny,RBS proffers stock options,"Blunkett's magic tricks, continued"
2000-03-08,0,Justice dawns on Forgotten Five,Adams goes for French check-up,England has Europe's lowest card count,Wasteful Ipswich count their blessings,Marcelo justifies the third prong,Hughes strikes a blow for Baggies pride,Bent gives the plot a final twist,Solskjaer takes United top in a trice,Vialli cool about his Bridge hand,Guiding hands,Fear of the truth,State of despair as public schools get the cream,Ballymeena Protestants angered by Neeson honour,Could do better,'Who are the democrats?' asks beseiged Blair,Roaring in the Aussie style,"Cocky Paolo, Rich Mart and Big Ron",Verisign in $21bn takeover,"Ulster: ready to talk, but little to say",The Footsie,Words of wisdom,Take a walk on the wild side,Phoebe's choice,Chains of love,Battle of two dynasties
2000-03-09,1,Petit takes demanding Spanish test at the back,Weaver unravels causing City's stock to plummet after,Wallace shoots Rangers towards title,"The cruel world of Auntie, as told by David Icke",Pearce breaks leg and Hammer hearts,Akinbiyi in the dock over headbutt,Wise revives the Blues,Houllier gets his man,US genetics firm in cancer check deal,Yet another disaster that needed TV's endorsement,ITN 'attempted to destroy' left-wing magazine,'Labour faces the neighbour from hell',Doctor's secret Serb camp photos,Bradley and McCain quit presidential contest,Teletubbies say eh-oh to PlayStation,BBC launches �5m bid to find new talent - and shed its elitist image,How much can you pay for . . .,Human traffic,Cybershopping: Music,Oil price gush boosts Shell and BP shares,A life in crime,What the US papers say,Germany suspends BNFL fuel contracts,The black economy,Not scrounging but drowning: the truth about asylum seekers
2000-03-10,1,Whatever Happened To Harold Smith?,Next Friday,Lola und Bilidikid,SLC Punk!,The best contact scene,Seaman and co complete Spanish campaign for spiked Gunners,Liverpool secure Heskey for �11m,United in the hope of an almighty slip-up,"Di Canio is fined �5,000 for insulting gesture",Murali's star turn clinches series,Scoreboard,Big Tobacco's last gasp,"ITN tried to crush critical leftwing journal, jury told",My reply: the cash was real,Love letters expose the patriot poet,Defector attacks Hague's 'repugnant' stance on race,Cholera strikes disaster island,Chemical warfare trials short of volunteers,Microsoft takes on Playstation,Can Microsoft beat the mighty Playstation?,Most wanted:   keys,"Squeeze me, please me",Seeing red (and purple),Pucci,Most everywhere:  skin jewellery
2000-03-13,0,Scottish round-up,Third Division round-up,Second Division round-up,First Division round-up,Dons set up cup double,Wilson rhetoric lifts Owls winning nlifts Owls,Swindon get lucky and do the business,Rangers get serious to break Hearts,Money for nothing as Kearton prospers,Frazzled fans await Conference call,Fine Flo and foul fortune,Eclipsed by Given again,Curtis finds his true stage,Carbone throws down gauntlet,Yorke polish puts gloss on dodgy motor,Ince triggers Gunners meltdown,Heskey's big day spoiled by Phillips,Cort in on the act as plot thickens,Sleepy Blues leave job half done,Armstrong completes inside job,Anelka tests Real's patience,Relegation a rehearsal for the real thing,The great pretenders: the inside workings of Labour's spin machine,Grammar lessons,Grammar challenge
2000-03-14,1,Dutch police braced for Chelsea,Vialli turns down �22m Dutch auction,Rioch flies away from struggling Norwich,Feyenoord 1 - 3 Chelsea,Paradise postponed,ITN Bosnia reporters win libel damages,Hague's tax offensive,It's too soon to buy into Lastminute.com,"'tache, Clash and Smash",Times in merger frenzy,Microsoft and Andersen join forces,Low blows to the belly,"To sleep, perchance...",Dear doctor,Keep taking the tablets,US airport security demands anger UK,Capital gains,Lastminute flotation soars ahead,So much hot air,Floating Lastminute.com,Souness takes the reins at Blackburn,"Reward for willingness to listen, learn and act",Best unit trust/OEIC,Best share dealing service,Best savings account
2000-03-15,0,Injury rules Batty out of Euro 2000,Souness picks up baton at Blackburn,Vintage Wright keeps the Clarets flowing,Francis falls short in blank return,Here be dragons with their flags in a twist,United told to qualify in style,Rampant Chelsea surge into last eight,Manchester United 3 - 1 Fiorentina,Warne wraps up victory and record,Reversing the exodus,Morgan to open up Welsh cabinet minutes,Legal maze,The Third Woman: The Secret Passion That Inspired The End Of The Affair by William Cash,Peers vote to end ballots at grammar schools,Hague calls Blair 'liar' on tax pledge,Body Shop sees net future,Child support,Why I had to leave the police,Racist gang's threat to impale Asian,The environment,Stamp duty,Legal maze,Income taxes,The economic background,Greens press Shell for a place in the sun
2000-03-16,1,McAllister prevails in battle of Dad's Armies,Arsenal 2 - 0 Werder Bremen,Pakistan secure consolation win,Warne dumps Lillee out of record books,King of spin who set cricket in a whirl,Captain Adams faces trial by Trinidad,Historic win for Spanish right,Swiss use ballot box to bar new citizens,Saddam thrives on the West's failed policies,"Go on Graeme, prove me wrong...","Surveys, Contracts, and Reports",Alchemists move in,Gloom greets Rover's new owners,Violence 'driving women from their homes',Speculation links Yahoo and Ebay link,Are you being served?,How much can you pay for . . .,Online restaurant booking,Free to all comers,Venture capitalists buy Rover for �2bn,Black gold,BMW's full statement,Alchemy Partners' full statement,"Come, friendly pigeons",What the German papers say
2000-03-17,1,Robinson exit marks end of era at Anfield,Phillips strikes �6m deal,Gunners call all the shots,How the last eight is shaping up,Players open door to women,United and Chelsea make case to end Italy's European reign,Budgeting for more money? Give us a break,Bygone budgets: March 1999,Lib Dems urge 50p tax on rich,Brahms: Symphony No.4,Minister orders inquiry into racism at prison,Sex and race bias claim a non starter,"1,000 BBC jobs to go in Dyke's revolution",Most...,Shih-tzus,T time,Comme again,Democrat victory in Taiwan could force Beijing's hand,New organ scandal forces hospital chief to quit,George to force the draw,A result Labour will find hard to spin,The round-trip refugees,Return of the Idiot,Women in lav,Venture capital companies
